1	H 	Hydrogen	1.00794	1s1	2.2	32	0	120	-73	72	-1, 1	gas	diatomic	14	20	0	nonmetal	1766
2	He 	Helium	4.002602	1s2 		32		140	2372	0		gas	atomic		4	0	noble gas	1868
3	Li 	Lithium	6.941	[He] 2s1 	0.98	134	76	182	520	-60	1	solid	metallic	454	1615	0	alkali metal	1817
4	Be 	Beryllium	9.012182	[He] 2s2 	1.57	90	45		900	0	2	solid	metallic	1560	2743	1.85	alkaline earth metal	1798
5	B 	Boron	10.811	[He] 2s2 2p1 	2.04	82	27	0	801	-27	1, 2, 3	solid	covalent network	2348	4273	2.46	metalloid	1807
6	C 	Carbon	12.0107	[He] 2s2 2p2 	2.55	77	16	170	1087	-154	-4, -3, -2, -1, 1, 2, 3, 4	solid	covalent network	3823	4300	2.26	nonmetal	Ancient
7	N 	Nitrogen	14.0067	[He] 2s2 2p3 	3.04	75	146	155	1402	-7	-3, -2, -1, 1, 2, 3, 4, 5	gas	diatomic	63	77	0	nonmetal	1772
8	O 	Oxygen	15.9994	[He] 2s2 2p4 	3.44	73	140	152	1314	-141	-2, -1, 1, 2	gas	diatomic	55	90	0	nonmetal	1774
9	F 	Fluorine	18.9984032	[He] 2s2 2p5 	3.98	71	133	147	1681	-328	-1	gas	atomic	54	85	0	halogen	1670
10	Ne 	Neon	20.1797	[He] 2s2 2p6 		69		154	2081	0		gas	atomic	25	27	0	noble gas	1898
11	Na 	Sodium	22.98976928	[Ne] 3s1 	0.93	154	102	227	496	-53	-1, 1	solid	metallic	371	1156	0.97	alkali metal	1807
12	Mg 	Magnesium	24.305	[Ne] 3s2 	1.31	130	72	173	738	0	1, 2	solid	metallic	923	1363	1.74	alkaline earth metal	1808
13	Al 	Aluminum	26.9815386	[Ne] 3s2 3p1 	1.61	118	53.5		578	-43	1, 3	solid	metallic	933	2792	2.7	metal	Ancient
14	Si 	Silicon	28.0855	[Ne] 3s2 3p2 	1.9	111	40	210	787	-134	-4, -3, -2, -1, 1, 2, 3, 4	solid	metallic	1687	3173	2.33	metalloid	1854
15	P 	Phosphorus	30.973762	[Ne] 3s2 3p3 	2.19	106	44	180	1012	-72	-3, -2, -1, 1, 2, 3, 4, 5	solid	covalent network	317	554	1.82	nonmetal	1669
16	S 	Sulfur	32.065	[Ne] 3s2 3p4 	2.58	102	184	180	1000	-200	-2, -1, 1, 2, 3, 4, 5, 6	solid	covalent network	388	718	1.96	nonmetal	Ancient
17	Cl 	Chlorine	35.453	[Ne] 3s2 3p5 	3.16	99	181	175	1251	-349	-1, 1, 2, 3, 4, 5, 6, 7	gas	covalent network	172	239	0	halogen	1774
18	Ar 	Argon	39.948	[Ne] 3s2 3p6 		97		188	1521	0		gas	atomic	84	87	0	noble gas	1894
19	K 	Potassium	39.0983	[Ar] 4s1 	0.82	196	138	275	419	-48	1	solid	metallic	337	1032	0.86	alkali metal	1807
20	Ca 	Calcium	40.078	[Ar] 4s2 	1	174	100		590	-2	2	solid	metallic	1115	1757	1.55	alkaline earth metal	Ancient
21	Sc 	Scandium	44.955912	[Ar] 3d1 4s2 	1.36	144	74.5		633	-18	1, 2, 3	solid	metallic	1814	3103	2.99	transition metal	1876
22	Ti 	Titanium	47.867	[Ar] 3d2 4s2 	1.54	136	86		659	-8	-1, 2, 3, 4	solid	metallic	1941	3560	4.51	transition metal	1791
23	V 	Vanadium	50.9415	[Ar] 3d3 4s2 	1.63	125	79		651	-51	-1, 2, 3, 4	solid	metallic	2183	3680	6.11	transition metal	1803
24	Cr 	Chromium	51.9961	[Ar] 3d5 4s1 	1.66	127	80		653	-64	-2, -1, 1, 2, 3, 4, 5, 6	solid	metallic	2180	2944	7.14	transition metal	Ancient
25	Mn 	Manganese	54.938045	[Ar] 3d5 4s2 	1.55	139	67		717	0	-3, -2, -1, 1, 2, 3, 4, 5, 6, 7	solid	metallic	1519	2334	7.47	transition metal	1774
26	Fe 	Iron	55.845	[Ar] 3d6 4s2 	1.83	125	78		763	-16	-2, -1, 1, 2, 3, 4, 5, 6	solid	metallic	1811	3134	7.87	transition metal	Ancient
27	Co 	Cobalt	58.933195	[Ar] 3d7 4s2 	1.88	126	74.5		760	-64	-1, 1, 2, 3, 4, 5	solid	metallic	1768	3200	8.9	transition metal	Ancient
28	Ni 	Nickel	58.6934	[Ar] 3d8 4s2 	1.91	121	69	163	737	-112	-1, 1, 2, 3, 4	solid	metallic	1728	3186	8.91	transition metal	1751
29	Cu 	Copper	63.546	[Ar] 3d10 4s1 	1.9	138	77	140	746	-118	1, 2, 3, 4	solid	metallic	1358	3200	8.92	transition metal	Ancient
30	Zn 	Zinc	65.38	[Ar] 3d10 4s2 	1.65	131	74	139	906	0	2	solid	metallic	693	1180	7.14	transition metal	1746
31	Ga 	Gallium	69.723	[Ar] 3d10 4s2 4p1 	1.81	126	62	187	579	-29	1, 2, 3	solid	metallic	303	2477	5.9	metal	1875
32	Ge 	Germanium	72.64	[Ar] 3d10 4s2 4p2 	2.01	122	73		762	-119	-4, 1, 2, 3, 4	solid	metallic	1211	3093	5.32	metalloid	1886
33	As 	Arsenic	74.9216	[Ar] 3d10 4s2 4p3 	2.18	119	58	185	947	-78	-3, 2, 3, 5	solid	metallic	1090	887	5.73	metalloid	Ancient
34	Se 	Selenium	78.96	[Ar] 3d10 4s2 4p4 	2.55	116	198	190	941	-195	-2, 2, 4, 6	solid	metallic	494	958	4.82	nonmetal	1817
35	Br 	Bromine	79.904	[Ar] 3d10 4s2 4p5 	2.96	114	196	185	1140	-325	-1, 1, 3, 4, 5, 7	liquid	covalent network	266	332	3.12	halogen	1826
36	Kr 	Krypton	83.798	[Ar] 3d10 4s2 4p6 		110		202	1351	0	2	gas	atomic	116	120	0	noble gas	1898
37	Rb 	Rubidium	85.4678	[Kr] 5s1 	0.82	211	152		403	-47	1	solid	metallic	312	961	1.53	alkali metal	1861
38	Sr 	Strontium	87.62	[Kr] 5s2 	0.95	192	118		550	-5	2	solid	metallic	1050	1655	2.63	alkaline earth metal	1790
39	Y 	Yttrium	88.90585	[Kr] 4d1 5s2 	1.22	162	90		600	-30	1, 2, 3	solid	metallic	1799	3618	4.47	transition metal	1794
40	Zr 	Zirconium	91.224	[Kr] 4d2 5s2 	1.33	148	72		640	-41	1, 2, 3, 4	solid	metallic	2128	4682	6.51	transition metal	1789
